Trade_ID,Entry_Time,Entry_Candle_Time,Exit_Time,Exit_Candle_Time,Duration_Minutes,Symbol,Direction,Entry_Price,Exit_Price,Stop_Loss,Take_Profit,Premium_Entry_Price,Premium_Exit_Price,Premium_Stop_Loss,Premium_Take_Profit,Quantity,Exit_Reason,Outcome,Gross_PnL,Brokerage_Taxes,Net_PnL,Capital_Balance,AI_Confidence,Signal_Reason,Post_Mortem,Market_Context
20260823161308989591,2026-08-23 21:43:08,,2026-08-23 22:03:12,,20.07,BTCUSDT_OPT_CALL,CALL,,,,,1544.39,1598.72,1312.73,2007.71,0.001727,MAX_TIME_EXPIRATION_EXIT (20 Mins Limit),WIN,$+0.09,-$0.00,$+0.09,20.09,0.188,"Paper experiment: directional probability 0.19; strict filter status body=1.00, ADX=34.0, HTF=BULLISH","WIN: Position closed with exit reason: MAX_TIME_EXPIRATION_EXIT (20 Mins Limit). Net P&L=0.09. Entry rationale: Paper experiment: directional probability 0.19; strict filter status body=1.00, ADX=34.0, HTF=BULLISH. Recorded context: rsi=48.39490627082978, vwap_diff=0.005845242372936921, body_ratio=1.0.","{""rsi"": 48.39490627082978, ""vwap_diff"": 0.005845242372936921, ""body_ratio"": 1.0}"
20260823163319694001,2026-08-23 22:03:19,,2026-08-23 22:23:21,,20.03,BTCUSDT_OPT_CALL,CALL,,,,,1546.56,1574.03,1314.58,2010.53,0.001732,MAX_TIME_EXPIRATION_EXIT (20 Mins Limit),WIN,$+0.05,-$0.00,$+0.05,20.14,0.199,"Paper experiment: directional probability 0.20; strict filter status body=0.87, ADX=30.4, HTF=BULLISH","WIN: Position closed with exit reason: MAX_TIME_EXPIRATION_EXIT (20 Mins Limit). Net P&L=0.05. Entry rationale: Paper experiment: directional probability 0.20; strict filter status body=0.87, ADX=30.4, HTF=BULLISH. Recorded context: rsi=53.75775130615539, vwap_diff=0.007206508095318936, body_ratio=0.8679124740458481.","{""rsi"": 53.75775130615539, ""vwap_diff"": 0.007206508095318936, ""body_ratio"": 0.8679124740458481}"
20260823174100565222,2026-08-23 23:11:00,,2026-08-23 23:31:02,,20.03,BTCUSDT_OPT_CALL,CALL,77246.52,77176.41,76783.04,78173.48,1544.93,1509.87,1313.19,2008.41,0.001738,MAX_TIME_EXPIRATION_EXIT (20 Mins Limit),LOSS,$-0.06,-$0.00,$-0.06,20.08,0.207,"Paper experiment: directional probability 0.21; strict filter status body=0.17, ADX=25.4, HTF=BULLISH","LOSS: Position closed with exit reason: MAX_TIME_EXPIRATION_EXIT (20 Mins Limit). Net P&L=-0.06. Entry rationale: Paper experiment: directional probability 0.21; strict filter status body=0.17, ADX=25.4, HTF=BULLISH. Recorded context: rsi=46.72907250327022, vwap_diff=0.005885865789088283, body_ratio=0.16995110386724366.","{""rsi"": 46.72907250327022, ""vwap_diff"": 0.005885865789088283, ""body_ratio"": 0.16995110386724366}"
20260823180606468040,2026-08-23 23:36:06,,2026-08-23 23:56:06,,20.00,BTCUSDT_OPT_CALL,CALL,77182.01,77322.86,76718.92,78108.19,1543.64,1614.07,1312.09,2006.73,0.001734,MAX_TIME_EXPIRATION_EXIT (20 Mins Limit),WIN,$+0.12,-$0.00,$+0.12,20.20,0.208,"Paper experiment: directional probability 0.21; strict filter status body=0.11, ADX=26.6, HTF=BULLISH","WIN: Position closed with exit reason: MAX_TIME_EXPIRATION_EXIT (20 Mins Limit). Net P&L=0.12. Entry rationale: Paper experiment: directional probability 0.21; strict filter status body=0.11, ADX=26.6, HTF=BULLISH. Recorded context: rsi=42.4892914414897, vwap_diff=0.004929766589854764, body_ratio=0.11008452919186514.","{""rsi"": 42.4892914414897, ""vwap_diff"": 0.004929766589854764, ""body_ratio"": 0.11008452919186514}"
20260824111149678826,2026-08-24 16:41:49,,2026-08-24 17:55:32,,73.72,BTCUSDT_OPT_CALL_1986188,CALL,77694.01,78426.00,77227.85,78626.34,1553.88,1919.88,1320.80,2020.04,0.001733,MAX_TIME_EXPIRATION_EXIT (20 Mins Limit),WIN,$+0.63,-$0.00,$+0.63,20.83,0.38,"SELL rejected: 1H HTF trend is BULLISH (model wanted PUT, confidence 0.38)","WIN: Position closed with exit reason: MAX_TIME_EXPIRATION_EXIT (20 Mins Limit). Net P&L=0.63. Entry rationale: SELL rejected: 1H HTF trend is BULLISH (model wanted PUT, confidence 0.38). Recorded context: rsi=54.50480337925992, vwap_diff=0.005150558580597151, body_ratio=0.5854962285442534.","{""rsi"": 54.50480337925992, ""vwap_diff"": 0.005150558580597151, ""body_ratio"": 0.5854962285442534}"
20260824111504821520,2026-08-24 16:45:04,,2026-08-24 17:55:33,,70.48,BTCUSDT_OPT_CALL_1986189,CALL,77819.05,78426.00,77352.14,78752.88,1556.38,1859.85,1322.92,2023.29,0.001731,MAX_TIME_EXPIRATION_EXIT (20 Mins Limit),WIN,$+0.53,-$0.00,$+0.53,21.36,0.385,"SELL rejected: 1H HTF trend is BULLISH (model wanted PUT, confidence 0.39)","WIN: Position closed with exit reason: MAX_TIME_EXPIRATION_EXIT (20 Mins Limit). Net P&L=0.53. Entry rationale: SELL rejected: 1H HTF trend is BULLISH (model wanted PUT, confidence 0.39). Recorded context: rsi=59.61702343532256, vwap_diff=0.006712779399426247, body_ratio=0.7815625000000181.","{""rsi"": 59.61702343532256, ""vwap_diff"": 0.006712779399426247, ""body_ratio"": 0.7815625000000181}"
20260824111558748324,2026-08-24 16:45:58,,2026-08-24 17:55:33,,69.58,BTCUSDT_OPT_CALL_5958567,CALL,77819.05,78426.00,77352.14,78752.88,1556.38,1859.85,1322.92,2023.29,0.001731,MAX_TIME_EXPIRATION_EXIT (20 Mins Limit),WIN,$+0.53,-$0.00,$+0.53,21.89,0.385,"SELL rejected: 1H HTF trend is BULLISH (model wanted PUT, confidence 0.39)","WIN: Position closed with exit reason: MAX_TIME_EXPIRATION_EXIT (20 Mins Limit). Net P&L=0.53. Entry rationale: SELL rejected: 1H HTF trend is BULLISH (model wanted PUT, confidence 0.39). Recorded context: rsi=59.61702343532256, vwap_diff=0.006712779399426247, body_ratio=0.7815625000000181.","{""rsi"": 59.61702343532256, ""vwap_diff"": 0.006712779399426247, ""body_ratio"": 0.7815625000000181}"
20260824112004517270,2026-08-24 16:50:04,,2026-08-24 17:55:33,,65.48,BTCUSDT_OPT_CALL_5958568,CALL,77848.00,78426.00,77380.91,78782.18,1556.96,1845.96,1323.42,2024.05,0.00173,MAX_TIME_EXPIRATION_EXIT (20 Mins Limit),WIN,$+0.50,-$0.00,$+0.50,22.39,0.496,"SELL rejected: 1H HTF trend is BULLISH (model wanted PUT, confidence 0.50)","WIN: Position closed with exit reason: MAX_TIME_EXPIRATION_EXIT (20 Mins Limit). Net P&L=0.50. Entry rationale: SELL rejected: 1H HTF trend is BULLISH (model wanted PUT, confidence 0.50). Recorded context: rsi=60.71761487132023, vwap_diff=0.007051066944012203, body_ratio=0.20542113105796156.","{""rsi"": 60.71761487132023, ""vwap_diff"": 0.007051066944012203, ""body_ratio"": 0.20542113105796156}"
20260824123007070168,2026-08-24 18:00:07,,2026-08-24 18:20:12,,20.08,BTCUSDT_OPT_CALL_5958582,CALL,78460.01,78971.99,77989.25,79401.53,1569.20,1825.19,1333.82,2039.96,0.001902,MAX_TIME_EXPIRATION_EXIT (20 Mins Limit),WIN,$+0.49,-$0.00,$+0.49,22.88,0.349,"Paper experiment: directional probability 0.35; strict filter status body=0.29, ADX=35.3, HTF=BULLISH","WIN: Position closed with exit reason: MAX_TIME_EXPIRATION_EXIT (20 Mins Limit). Net P&L=0.49. Entry rationale: Paper experiment: directional probability 0.35; strict filter status body=0.29, ADX=35.3, HTF=BULLISH. Recorded context: rsi=63.55110077082358, vwap_diff=0.013118690523410767, body_ratio=0.2852351806823875.","{""rsi"": 63.55110077082358, ""vwap_diff"": 0.013118690523410767, ""body_ratio"": 0.2852351806823875}"
20260824123504927306,2026-08-24 18:05:04,,2026-08-24 18:25:11,,20.12,BTCUSDT_OPT_CALL_5958583,CALL,78540.89,79140.00,78069.64,79483.38,1570.82,1870.38,1335.20,2042.07,0.0019,MAX_TIME_EXPIRATION_EXIT (20 Mins Limit),WIN,$+0.57,-$0.00,$+0.57,23.45,0.322,"Paper experiment: directional probability 0.32; strict filter status body=0.23, ADX=36.1, HTF=BULLISH","WIN: Position closed with exit reason: MAX_TIME_EXPIRATION_EXIT (20 Mins Limit). Net P&L=0.57. Entry rationale: Paper experiment: directional probability 0.32; strict filter status body=0.23, ADX=36.1, HTF=BULLISH. Recorded context: rsi=65.35699808254714, vwap_diff=0.013833367209371441, body_ratio=0.22850282485875542.","{""rsi"": 65.35699808254714, ""vwap_diff"": 0.013833367209371441, ""body_ratio"": 0.22850282485875542}"
20260824124310932555,2026-08-24 18:13:10,,2026-08-24 18:33:12,,20.03,BTCUSDT_OPT_CALL_5958584,CALL,78684.40,79159.99,78212.29,79628.61,1573.69,1811.49,1337.64,2045.80,0.001897,MAX_TIME_EXPIRATION_EXIT (20 Mins Limit),WIN,$+0.45,-$0.00,$+0.45,23.90,0.301,Model confidence 0.30 below 0.60 threshold or predicted HOLD,"WIN: Position closed with exit reason: MAX_TIME_EXPIRATION_EXIT (20 Mins Limit). Net P&L=0.45. Entry rationale: Model confidence 0.30 below 0.60 threshold or predicted HOLD. Recorded context: rsi=68.35315629080762, vwap_diff=0.015580504168002739, body_ratio=0.5670816044259962.","{""rsi"": 68.35315629080762, ""vwap_diff"": 0.015580504168002739, ""body_ratio"": 0.5670816044259962}"
20260824124504032554,2026-08-24 18:15:04,,2026-08-24 18:35:07,,20.05,BTCUSDT_OPT_CALL_5958585,CALL,78729.26,79003.65,78256.88,79674.01,1574.59,1711.78,1338.40,2046.97,0.001896,MAX_TIME_EXPIRATION_EXIT (20 Mins Limit),WIN,$+0.26,-$0.00,$+0.26,24.16,0.295,Model confidence 0.29 below 0.60 threshold or predicted HOLD,"WIN: Position closed with exit reason: MAX_TIME_EXPIRATION_EXIT (20 Mins Limit). Net P&L=0.26. Entry rationale: Model confidence 0.29 below 0.60 threshold or predicted HOLD. Recorded context: rsi=69.24847502036073, vwap_diff=0.015965834808128937, body_ratio=0.1590425531914584.","{""rsi"": 69.24847502036073, ""vwap_diff"": 0.015965834808128937, ""body_ratio"": 0.1590425531914584}"
20260824125503863985,2026-08-24 18:25:03,,,,20.00,BTCUSDT_OPT_CALL_5958587,CALL,79140.00,79223.01,78665.16,80089.68,1582.80,1624.30,1345.38,2057.64,0.001927,MAX_TIME_EXPIRATION_EXIT (20 Mins Limit),WIN,$+0.08,-$0.00,$+0.08,24.24,0.298,"Paper experiment: directional probability 0.30; strict filter status body=0.47, ADX=41.0, HTF=BULLISH","WIN: Position closed with exit reason: MAX_TIME_EXPIRATION_EXIT (20 Mins Limit). Net P&L=0.08; Entry rationale: Paper experiment: directional probability 0.30; strict filter status body=0.47, ADX=41.0, HTF=BULLISH; Recorded context: rsi=76.11969626525614, vwap_diff=0.020349530887559177, body_ratio=0.4714482139349467.","{""rsi"": 76.11969626525614, ""vwap_diff"": 0.020349530887559177, ""body_ratio"": 0.4714482139349467}"
20260824130006692600,2026-08-24 18:30:06,,2026-08-24 18:50:06,2026-08-24 13:15:00,20.00,BTCUSDT_OPT_CALL_5958588,CALL,79159.99,79035.55,78685.03,80109.91,1583.20,1520.98,1345.72,2058.16,0.001975,MAX_TIME_EXPIRATION_EXIT (20 Mins Limit),LOSS,$-0.12,-$0.00,$-0.12,24.12,0.312,"Paper experiment: directional probability 0.31; strict filter status body=0.08, ADX=42.8, HTF=BULLISH","LOSS: Position closed with exit reason: MAX_TIME_EXPIRATION_EXIT (20 Mins Limit). Net P&L=-0.12. Entry rationale: Paper experiment: directional probability 0.31; strict filter status body=0.08, ADX=42.8, HTF=BULLISH. Recorded context: rsi=76.4081590967458, vwap_diff=0.02032229820091106, body_ratio=0.08382254277090566.","{""rsi"": 76.4081590967458, ""vwap_diff"": 0.02032229820091106, ""body_ratio"": 0.08382254277090566}"
